Date,Stock,Open,High,Low,Close,Volume,Change Percent,Volume Type,Outcome
1/17/2013,20MICRONS,75.5,77.0,74.58,75.2,,0.04,,PROFIT
1/31/2013,20MICRONS,68.1,70.15,68.0,68.8,,1.03,,PROFIT
2/11/2013,20MICRONS,39.45,39.45,39.45,39.45,,-9.93,,LOSS
2/20/2013,20MICRONS,34.9,35.8,34.0,34.55,,-0.14,,LOSS
2/28/2013,20MICRONS,33.15,33.2,31.7,32.1,,1.42,,PROFIT
3/11/2013,20MICRONS,32.25,33.0,31.4,31.6,,-2.02,,LOSS
3/22/2013,20MICRONS,30.45,31.0,30.15,30.65,,1.32,,PROFIT
4/25/2013,20MICRONS,31.5,31.9,30.55,30.8,,-0.65,,LOSS
4/30/2013,20MICRONS,30.55,31.25,30.4,30.65,,-0.49,,LOSS
10/1/2013,20MICRONS,30.35,31.0,30.2,30.4,,0.33,,PROFIT
10/23/2013,20MICRONS,32.0,38.0,32.0,37.15,,15.55,,PROFIT
11/14/2013,20MICRONS,31.3,32.95,31.0,31.15,,-0.48,,LOSS
